Date,Open,High,Low,Close,Adj Close,Volume
4/20/2021,206.199997,207,202.5,203.550003,189.132889,21364882
4/22/2021,202,206.300003,200.550003,205.899994,191.316437,23139735
4/23/2021,204.25,207,204.25,205.350006,190.805405,19625381
4/26/2021,205.800003,206.75,204.699997,205.300003,190.758942,19886214
4/27/2021,205.300003,206.949997,205.050003,205.399994,190.851837,11444814
4/28/2021,206,206.5,205.300003,205.5,190.944778,12708021
4/29/2021,207.100006,207.550003,204.050003,204.300003,189.829773,13096755
4/30/2021,203.899994,205.699997,202,202.600006,188.250183,16495657
5/3/2021,201.199997,201.850006,200,200.949997,186.717041,20611626
5/4/2021,201.199997,202.350006,199.100006,199.600006,185.462677,18259282
5/5/2021,201.449997,202,199.5,201.399994,187.135162,13862655
5/6/2021,202.300003,205.949997,202.100006,202.75,188.389557,14320889
5/7/2021,202.949997,206.449997,202.949997,205.350006,190.805405,19463495
5/10/2021,207.149994,207.449997,205,205.550003,190.991226,16295368
5/11/2021,203.899994,206.5,203.75,204,189.55101,13747541
5/12/2021,203.899994,205.25,202.850006,203.25,188.854126,16537612
5/14/2021,205,213.199997,204,212.25,197.216675,61647120
5/17/2021,216.800003,217,211.649994,212.600006,197.541885,38001828
5/18/2021,214.100006,214.600006,209.649994,210.050003,195.172501,30479551
5/19/2021,210.050003,211.399994,207.550003,207.75,193.035416,24405319
5/20/2021,208.449997,209.300003,206.800003,207,192.338531,20884367
5/21/2021,207.600006,209.850006,207.399994,209.050003,194.243332,22638020
5/24/2021,209.5,212.050003,207.75,211.5,196.519791,28865798
5/25/2021,213,213.399994,210.25,210.899994,195.96228,25334878
5/26/2021,211.800003,212.449997,210.300003,210.600006,195.683548,17576137
5/27/2021,211,214.149994,210.300003,211.149994,196.19458,47554219
5/28/2021,212.5,213.5,211.550003,212.899994,197.820633,25597550
5/31/2021,215,217.899994,214.399994,216.600006,201.258591,73039531
6/1/2021,218,219.399994,214.25,215.25,200.004196,38755111
6/2/2021,210.5,212.449997,208.600006,209,194.196854,96654991
